sekwencja,nowy_znak
MTMNA-1002-CFD-15775,E.17
MTMNA-1002-CFD-15775,B.29.23.B.25
MTMNA-1009-CFD-15777,B.29.25
MTMNA-1009-CFD-15777,B.24.11
MTMNA-16?0-624,E.17
MTMNA-16?0-624,B.29.23.B.25
MTMNA-1629-573,B.24.25
MTMNA-1629-573,B.29.115
MTMNA-1630-574,E.17
MTMNA-1630-574,B.24.11
MTMNA-1631-575,C.24.1
MTMNA-1631-575,E.31.14
MTMNA-1631-575,A.36
MTMNA-1631-575,C.24.1
MTMNA-1631-575,E.31.14
MTMNA-1631-575,A.36
MTMNA-1635-579,E.17.48
MTMNA-1635-579,B.29.23.B.25
MTMNA-1637-581,E.17
MTMNA-1637-581,B.29.23.B.25
MTMNA-1638-582,E.17.3
MTMNA-1638-582,B.24.11
MTMNA-1640-584,E.17.3
MTMNA-1640-584,B.29.23.B.25
MTMNA-1642-586,B.29.35
MTMNA-1642-586,B.24.5
MTMNA-1643-587,B.24.11.7
MTMNA-1643-587,B.29.35.B.25
MTMNA-1669-613,B.24.11.7
MTMNA-1669-613,B.29.35.B.25
MTMNA-1682-626,E.17.3
MTMNA-1682-626,B.31.28.30
MTMNA-1687-631,E.17.48
MTMNA-1687-631,B.29.23.B.25
MTMNA-1689-633,B.29.25
MTMNA-1689-633,A.36
MTMNA-1704-648,E.17.3
MTMNA-1704-648,B.29.23
MTMNA-1706-650,E.17
MTMNA-1706-650,B.29.23.B.25
MTMNA-1710-654,B.29.25
MTMNA-1710-654,A.36
MTMNA-1712-656,B.24
MTMNA-1712-656,B.29.23.B.25
MTMNA-1721-665,B.24.11
MTMNA-1721-665,B.29.23.B.25
MTMNA-1729-668,E.17
MTMNA-1729-668,B.29.23.B.25
MTMNA-1729-673inf,E.31.22
MTMNA-1729-673inf,A.38
MTMNA-1729-673inf,B.24.12
MTMNA-1729-673inf,B.27.30
MTMNA-1729-673inf,E.31.22
MTMNA-1729-673inf,A.38
MTMNA-1729-673inf,B.24.12
MTMNA-1729-673inf,B.27.30
MTMNA-1729-673sup,A.38
MTMNA-1729-673sup,B.24.12
MTMNA-1729-673sup,B.27.30
MTMNA-1729-673sup,E.31.22
MTMNA-1729-673sup,A.38
MTMNA-1729-673sup,B.24.12
MTMNA-1729-673sup,B.27.30
MTMNA-1729-673sup,E.31.22
MTMNA-1730-674,A.17.3
MTMNA-1730-674,B.24.23.28.10
MTMNA-1730-674,B.29.23.28
MTMNA-1730-674,A.17.3
MTMNA-1730-674,B.24.23.28.10
MTMNA-1730-674,B.29.23.28
MTMNA-1731-675,E.17
MTMNA-1731-675,B.29.25.B.35
MTMNA-1740-683,C.24.1
MTMNA-1740-683,B.29.25.B.35
MTMNA-988-CFD15779,B.24.11
MTMNA-988-CFD15779,B.29.23
MTMNA-990-CFD-15791,E.17.3
MTMNA-990-CFD-15791,B.29.25
MTMNA-XX1-IMG3984,B.29.35.B.25
MTMNA-XX1-IMG3984,B.24.5
MTMNA1725-669,B.24.25
MTMNA1725-669,B.29.25
MTMNA984-CFD-15776inf,B.27
MTMNA984-CFD-15776inf,A.18
MTMNA984-CFD-15776inf,A.38
MTMNA984-CFD-15776inf,G
MTMNA984-CFD-15776inf,A.6
MTMNA984-CFD-15776inf,C.24.47.1
MTMNA984-CFD-15776cent,A.18.4
MTMNA984-CFD-15776cent,A.38
MTMNA984-CFD-15776cent,C.29
MTMNA984-CFD-15776cent,A.6
MTMNA984-CFD-15776cent,C.24.47.1
MTMNA984-CFD-15776cent,A.39
MTMNA984-CFD-15776sup,A.38
MTMNA984-CFD-15776sup,G
MTMNA984-CFD-15776sup,A.6
MTMNA984-CFD-15776sup,C.24.47.1
MTMNA984-CFD-15776sup,A.39
MTMNA984-CFD-15776sup,B.27.30
MTMNA994-CFD15778,C.24.1
MTMNA994-CFD15778,E.17
MTTiaMNA1703647,E.17.48.3
MTTiaMNA1703647,B.29.23.B.25
MTTiaMNA1742685,B.29.23.B.25
MTTiaMNA1742685,E.17.48
MUNSA-0051135,B.24.11
MUNSA-0051135,B.29.23.B.25
MUNSA-005140,B.24.10.7
MUNSA-005140,B.31.28.30
MUNSA-005140,B.24.10.7
MUNSA-005140,B.31.28.30
MUNSA-114,B.24.11
MUNSA-114,B.29.23.B.25
MUNSA-154INCLHS,B.24.23.28.9
MUNSA-154INCLHS,E.17
MUNSA-154INCLHS,B.24.23.28.9
MUNSA-196,B.29.35.B.25
MUNSA-196,E.17
MUNSA-CS03,B.24.25
MUNSA-CS03,B.29.23.B.25
MUNSA-CS21,B.24.28
MUNSA-CS21,B.24.11
MUNSA-CS21,G
MUNSA-CS21,A.12
MUNSA-CS21,B.29.30.10
MUNSA-CS21,B.24.28.10
MUNSA-CS21,B.27.30
MUNSA-CS21,A.36
MUNSA-CS34,A.245
MUNSA-CS34,C.24.1
MUNSA-CS34,A.245
MUNSA-CS34,C.24.1
MUNSA-CS35,E.17
MUNSA-CS35,B.29.25.B.30
MUNSA-CS66,A.44
MUNSA-CS66,B.27.25.B.30
MUNSA-CS66,A.44
MUNSA-CS66,B.27.25.B.30
MUNSA-CS71inf,B.24.28.10
MUNSA-CS71inf,G
MUNSA-CS71inf,E.17
MUNSA-CS71inf,B.29
MUNSA-CS71inf,A.38
MUNSA-CS71inf,0
MUNSA-CS71inf,B.27
MUNSA-CS71inf,A.36
MUNSA-CS71sup,0
MUNSA-CS71sup,B.27
MUNSA-CS71sup,A.36
MUNSA-CS71sup,B.24.28.10
MUNSA-CS71sup,G
MUNSA-CS71sup,E.17
MUNSA-CS71sup,B.29
MUNSA-CS71sup,A.38
MUNSA-CS73,B.29.30
MUNSA-CS73,B.24.11.7
MUNSA-CS73,B.29.30
MUNSA-CS73,B.24.11.7
MUNSA-CS75,E.17
MUNSA-CS75,B.29.35
MUNSA-CS77,E.17
MUNSA-CS77,B.29.35
MUNSA-CS98inf,A.36
MUNSA-CS98inf,B.29.25.B.30
MUNSA-CS98inf,B.24.11
MUNSA-CS98inf,B.27.30
MUNSA-CS98sup,B.29.23.B.30
MUNSA-CS98sup,B.24.11
MUNSA-CS98sup,B.27.30
MUNSA-CS98sup,A.6
MUNSA-Ya1004-64,B.29.23.10
MUNSA-Ya1004-64,E.17
MUNSA-YaSN1,B.24.11
MUNSA-YaSN1,B.29.25
MUS1,A.36
MUS1,B.31.28
MUS1,B.24.11
MUS1,G
MUS1,A.38
MUS1,B.27.30
MUS1,A.6
MUS1,B.29.23.B.30
MUS10,E.17.3
MUS10,B.29.25
MUS11inf,B.24.11
MUS11inf,E.17
MUS11inf,A.36
MUS11inf,G
MUS11inf,A.19.13
MUS11inf,A.36
MUS11inf,E.17
MUS11sup,B.31.21
MUS11sup,A.19.13
MUS11sup,B.29.23
MUS11sup,B.24.11
MUS11sup,E.17
MUS11sup,G
MUS11sup,B.24.11
MUS12,G
MUS12,B.24.11
MUS12,G
MUS12,B.24.11
